urls,names,bio,birth,death,age,place
"https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B4%D0%BE%D1%80%D0%BE%D0%B2,_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Сидоров, Валентин Михайлович","Валенти́н Миха́йлович Си́доров (5 мая 1928, д. Сорокопенье, Тверская губерния — 9 января 2021[1], Москва) — советский, российский художник-живописец, мастер пейзажа, педагог. Член Президиума РАХ (1988—2009). Академик АХ СССР (1988; член-корреспондент 1975). Народный художник СССР (1988). Народный художник Украины (2004). Лауреат Государственной премии СССР (1984), Государственной премии РСФСР имени И. Е. Репина (1974) и Государственной премий Российской Федерации (1997).",05.05.1928,09.01.2021,92,Москва
"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B0%D0%B5%D0%B2%D0%B0,_%D0%95%D0%BB%D0%B5%D0%BD%D0%B0_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0","Катаева, Елена Георгиевна","Елена Георгиевна Катаева (урожд. Солякина; 14 июня 1956, Ленинград — 10 января 2021, Москва) — кандидат технических наук, доктор политических наук, доцент; ректор университета «Станкин».",14.06.1956,10.01.2021,64,Москва
"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D1%87%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Грачевский, Борис Юрьевич","Борис Юрьевич Грачевский (18 марта 1949, Раменский район, Московская область — 14 января 2021, Москва) — советский и российский кинорежиссёр[3] и сценарист, организатор кинопроизводства, художественный руководитель детского киножурнала «Ералаш» (2002—2021). Член Российской академии кинематографических искусств «Ника»; заслуженный деятель искусств РФ (2000), лауреат премии Правительства РФ (2010).",18.03.1949,14.01.2021,71,Москва
"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%88%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87","Вишневский, Анатолий Григорьевич","Анато́лий Григо́рьевич Вишне́вский (1 апреля 1935, Харьков, УССР — 15 января 2021, Москва, Россия) — советский и российский демограф и экономист, автор монографий. Получил также известность как писатель и историк литературы Русского Зарубежья. Доктор экономических наук (1983), действительный член РАЕН. Директор Института демографии Высшей школы экономики[3].",01.04.1935,15.01.2021,85,Москва
"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D1%88%D0%BA%D0%B8%D0%BD,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B5%D0%B2%D0%B8%D1%87","Антошкин, Николай Тимофеевич","Николай Тимофеевич Антошкин (19 декабря 1942, Кузьминовка, Башкирская АССР — 17 января 2021, Москва[1]) — советский и российский военный и политический деятель. Генерал-полковник авиации (1994), военный лётчик 1-го класса, Заслуженный военный лётчик Российской Федерации (1993). Ликвидатор аварии на Чернобыльской АЭС, Герой Советского Союза (1986). Депутат Государственной Думы VI и VII созывов, член фракции «Единая Россия».",19.12.1942,17.01.2021,78,Москва
"https://ru.wikipedia.org/wiki/%D0%A6%D1%84%D0%B0%D1%81%D0%BC%D0%B0%D0%BD,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%97%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Цфасман, Анатолий Захарович","Анатолий Захарович Цфасман (14 октября 1928, Москва — 18 января 2021, Москва) — советский и российский терапевт, специалист в области профессиональных заболеваний и железнодорожной медицины.",14.10.1928,18.01.2021,92,Москва
"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87_(%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA)","Васильев, Дмитрий Дмитриевич (историк)","Дми́трий Дми́триевич Васи́льев (11 октября 1946 — 18 января 2021[1]) — российский востоковед, тюрколог, организатор науки, руководитель эпиграфических экспедиций ИВ РАН по исследованию памятников древнетюркской письменности в Южной Сибири, заведующий Отделом истории Востока ИВ РАН (1993—2021), вице-президент Общества востоковедов РАН, член-корреспондент РАЕН, заслуженный деятель науки Республики Тыва, почетный член Турецкого лингвистического общества.",11.10.1946,18.01.2021,74,
"https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D1%81%D1%8E%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87","Евсюков, Алексей Павлович","Алексей Павлович Евсюков (17 апреля 1949 — 18 января 2021) — пианист, аккомпаниатор, композитор. Народный артист РФ (2002)[1].",17.04.1949,18.01.2021,71,
"https://ru.wikipedia.org/wiki/%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87","Игнатенко, Александр Александрович","Алекса́ндр Алекса́ндрович Игнате́нко (2 февраля 1947, Красный Лиман, Сталинская (ныне Донецкая) область УССР, СССР — 24 января 2021, Москва, Россия[1]) — советский и российский исламовед, специалист по истории средневековой и современной арабской мусульманской философско-политической мысли, по религиозному экстремизму и терроризму. Доктор философских наук, профессор. Член Общественной палаты РФ (2006—2008).",02.02.1947,24.01.2021,73,Москва
"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%85%D0%B8%D0%BD,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87","Лахин, Юрий Николаевич","Ю́рий Никола́евич Ла́хин (23 июля 1952, Запорожье — 27 января 2021, Москва) — советский и российский актёр театра и кино. Заслуженный артист РСФСР (1988).",23.07.1952,27.01.2021,68,Москва
